date,station,site,location,country,latitude,longitude,exposure,orientation,geology,reef_geomorphology,reeftype_old,reef_type
2009-10-27,mnaze1,mnazie,mnaziinner,tanzania,-10.3163,40.36858333,1,-1,continental_fringing_reef,lagoon-exposed_fringing_reef,Patch reef,shallow_terrace
2009-10-28,mnaze2,mnazie,mnaziinner,tanzania,-10.31646667,40.3705,1,-1,continental_fringing_reef,lagoon-exposed_fringing_reef,Patch reef,shallow_terrace
2009-10-28,mnazf1,mnazif,mnazioutern,tanzania,-10.2363,40.34351667,5,se,continental_fringing_reef,ocean-exposed_fringing_reef,Fore reef slope,forereef
2009-10-28,mnazf2,mnazif,mnazioutern,tanzania,-10.2419,40.35036667,5,se,continental_fringing_reef,ocean-exposed_fringing_reef,Fore reef slope,forereef
2014-04-02,moresby,pbisdela_passe,peros_banhos,chagos,-5.2374,71.83493333,4,ne,atoll,atoll_rim,Terrace&Wall,forereef
2011-09-28,mutiv1,mutiva,nacala,mozambique,-14.42596667,40.72763333,2,north,continental_fringing_reef,inner-seas_exposed_fringing_reef,Fringing,forereef
2011-09-28,mutiv2,mutiva,nacala,mozambique,-14.43128333,40.71481667,2,north,continental_fringing_reef,inner-seas_exposed_fringing_reef,Fringing,forereef
2011-09-30,nangat1,nangata,nacala,mozambique,-14.1846,40.69366667,3,ne,continental_fringing_reef,ocean-exposed_fringing_reef,Fringing,deep_terrace
2011-09-30,nangat2,nangata,nacala,mozambique,-14.21448333,40.78396667,4,east,continental_fringing_reef,ocean-exposed_fringing_reef,Fringing,forereef
2011-10-01,napala,napala,nacala,mozambique,-14.44946667,40.6774,2,north,continental_fringing_reef,inner-seas_exposed_fringing_reef,Fringing,forereef
2009-10-17,mnema1,mnemb,zanzibar,tanzania,-5.840966667,39.39646667,4,se,continental_island,ocean-exposed_fringing_reef,Fringing,forereef
2009-10-17,mnema2,mnemb,zanzibar,tanzania,-5.83975,39.39418333,4,se,continental_island,ocean-exposed_fringing_reef,Fringing,forereef
2014-09-16,ob14_01_01,obock_outer,obock,djibouti,11.958617,43.313117,NA,se,,,15,
2014-09-16,ob14_01_02,obock_outer,obock,djibouti,11.961101,43.320049,NA,se,,,17,
2014-09-17,ob14_02_01,obock_inner,obock,djibouti,11.96846,43.320148,NA,various,,,7,
2014-09-17,ob14_02_02,obock_inner,obock,djibouti,11.968558,43.31932,NA,various,,,10,
2011-10-02,paradise,paradise,nacala,mozambique,-14.45835,40.66068333,2,east,continental_fringing_reef,inner-seas_exposed_fringing_reef,Fringing,diffuse_fringing_reef
