date,station,site,country,latitude,longitude,closest_cell_lat,closest_cell_lon,cell_distance_km,sst_annual_mean
2022-09-16,itso_02,itsoundzou,comoros,-11.8674522,43.384162,-11.8541669845581,43.3958320617676,1.94808609076035,27.5324993846007
2022-09-07,ivoi_01,ivoini,comoros,-11.39149,43.40332,-11.3958339691162,43.3958320617676,0.948430684100901,27.7327266528525
2022-09-07,ivoi_02,ivoini,comoros,-11.38894,43.40109,-11.3958339691162,43.3958320617676,0.957144187418457,27.7327266528525
2022-09-13,male_03,male,comoros,-11.90958,43.51859,-11.8958339691162,43.5208320617676,1.5478356807299,27.9229160425408
2022-09-13,male_04,male,comoros,-11.90733,43.52169,-11.8958339691162,43.5208320617676,1.28170613684605,27.9229160425408
2018-10-07,mbch_01,mbachile_napabo,comoros,-11.752227,43.22752,-11.7708339691162,43.2291679382324,2.07676659327338,28.0462493731175
2018-10-08,mbch_02,mbachile_napabo,comoros,-11.74426,43.23023,-11.7291669845581,43.2291679382324,1.68224781473518,27.9795827079409
2022-09-10,mimo_01,memboiboini,comoros,-11.37151,43.32579,-11.3541669845581,43.3125,2.4120577646814,27.587082716714
2022-09-10,mimo_02,memboiboini,comoros,-11.37374,43.31699,-11.3541669845581,43.3125,2.23078634704844,27.587082716714
2018-10-05,mits_01,mitsamiouli,comoros,-11.39113,43.27742,-11.3958339691162,43.2708320617676,0.888410324747646,28.0012493741233
2018-10-06,mits_02,mitsamiouli,comoros,-11.3791,43.28735,-11.3958339691162,43.2708320617676,2.58927433562375,28.0012493741233
2023-11-01,mits_03,mitsamiouli_2,comoros,-11.3790333,43.2881833,-11.3958339691162,43.2708320617676,2.65844993443748,28.1245827046999
2023-11-01,mits_04,mitsamiouli_2,comoros,-11.37499,43.29049,-11.3541669845581,43.2708320617676,3.15493944388502,28.1779160368412
2023-11-04,ndje_01,ndjelezi,comoros,-11.37226,43.39113,-11.3541669845581,43.3958320617676,2.07612988340384,28.2474993686192
2023-11-04,ndje_02,ndjelezi,comoros,-11.37578,43.3952,-11.3958339691162,43.3958320617676,2.23096728398065,28.3416660331811
2022-09-06,ndro_01,ndroude,comoros,-11.40755,43.41835,-11.3958339691162,43.4375,2.46054536706891,28.1479160375117
2022-09-06,ndro_02,ndroude,comoros,-11.41758,43.4235,-11.4375,43.4375,2.68970914209163,28.243749368703
2022-10-25,jbr_02,jumbo_ruins,kenya,-3.95686,39.78,-3.93750023841858,39.7708320617676,2.38085611661212,27.1979160587459
2022-10-25,jbr_01,jumbo_ruins,kenya,-3.95232,39.78207,-3.93750023841858,39.7708320617676,2.06631150206937,27.1979160587459
2020-11-24,mrd_01,mradi_tengefu,kenya,-3.94492,39.7806,-3.93750023841858,39.7708320617676,1.36192316551358,28.1570827039735
2022-10-17,ngm_01,ngomani,kenya,-4.64668,39.32629,-4.64583349227905,39.3125,1.53123727994552,27.8387493777555
2022-10-17,ngm_02,ngomani,kenya,-4.64581,39.3316,-4.64583349227905,39.3125,2.11685004548359,27.8387493777555
2021-03-16,kiln_01,kilifi_north,kenya,-3.63088,39.89233,-3.64583349227905,39.8958320617676,1.70756716130905,27.7891660455304
2021-03-16,kiln_02,kilifi_north,kenya,-3.62615,39.89341,-3.64583349227905,39.8958320617676,2.20514957352802,27.7891660455304
2022-11-04,tkg_01,takaungu,kenya,-3.66621,39.88277,-3.64583349227905,39.8958320617676,2.68973978139737,27.1395827267164
2021-04-13,kse_02,kisite_east,kenya,-4.715047013,39.38061403,-4.72916698455811,39.3958320617676,2.304161565367,27.8666660437981
2021-04-13,kse_01,kisite_east,kenya,-4.71487,39.38127,-4.72916698455811,39.3958320617676,2.26527198765959,27.8666660437981
2021-04-12,mkk_01,makokokwe,kenya,-4.72326,39.33669,-4.72916698455811,39.3541679382324,2.04519485816485,27.91833270931
2021-04-12,mkk_02,makokokwe,kenya,-4.72159,39.33532,-4.72916698455811,39.3541679382324,2.25220075613377,27.91833270931
2021-04-14,lmp_01,lower_mpunguti,kenya,-4.69086,39.39813,-4.6875,39.3958320617676,0.452153106508666,27.9237493758556
2021-04-14,lmp_02,lower_mpunguti,kenya,-4.68446,39.39701,-4.6875,39.3958320617676,0.362364311835176,27.9237493758556
2021-04-15,ump_01,upper_mpunguti,kenya,-4.70173,39.4051,-4.6875,39.3958320617676,1.88642810791007,27.9237493758556
2021-04-15,ump_02,upper_mpunguti,kenya,-4.69941,39.40873,-4.6875,39.3958320617676,1.94858463273551,27.9237493758556
2023-03-27,kui_01,kui,kenya,-1.826736,41.444974,-1.81250011920929,41.4375,1.78766540624347,27.4662493860815
2023-03-26,mgl_01,magulugulu,kenya,-1.726246,41.536928,-1.72916674613953,41.5208320617676,1.81821666190837,27.1845827257105
2023-03-25,mwm_01,mwamba_mkuu,kenya,-1.778497,41.510267,-1.77083337306976,41.5208320617676,1.45084961469617,27.0312493958045
2023-03-25,bos_01,boso,kenya,-1.744037,41.520901,-1.72916674613953,41.5208320617676,1.65351713491443,27.1845827257105
2023-03-24,ccb_01,chongo_cha_boso,kenya,-1.752606,41.540772,-1.77083337306976,41.5208320617676,3.00321990026929,27.0312493958045
2023-03-26,dzi_01,dhiwa_za_ishakani,kenya,-1.707995,41.545832,-1.68750011920929,41.5625,2.93693712244715,27.0616660617913
2023-03-24,kkr_01,kadhikia_kuru,kenya,-1.723652,41.537266,-1.72916674613953,41.5208320617676,1.92673108024364,27.1845827257105
2023-02-14,miki_01,mikes_inner,kenya,-1.99245,41.28386,-1.97916674613953,41.2708320617676,2.06825340946938,28.3766660323987
2023-02-14,miko_02,mikes_outer,kenya,-1.99774,41.29116,-1.97916674613953,41.2708320617676,3.06078189885302,28.3766660323987
2023-02-14,miko_01,mikes_outer,kenya,-1.9938,41.29127,-1.97916674613953,41.2708320617676,2.79394044484284,28.3766660323987
2023-02-13,mkcg_01,mkokoni_coral_garden,kenya,-1.96254,41.30585,-1.97916674613953,41.3125,1.99104099717283,27.2308327246768
2023-02-15,sht_01,shimo_la_tewa,kenya,-2.04374,41.24154,-2.0625,41.2291679382324,2.49832664261546,27.3904160544432
2023-02-18,chm_01,chambani,kenya,-2.15035,41.17268,-2.14583349227905,41.1875,1.72163153652852,27.2087493918371
2023-02-18,kfc_01,kadhikia_fawachu,kenya,-2.15301,41.15146,-2.14583349227905,41.1458320617676,1.013837133822,27.5591660506713
2023-02-16,ktw_01,kitwani,kenya,-2.10469,41.17887,-2.10416674613953,41.1875,0.960729971851961,27.3387493889313
2023-02-19,mab_01,mabiyu,kenya,-2.09127,41.17648,-2.10416674613953,41.1875,1.8857448302835,27.3387493889313
2022-11-03,wmb_02,wembe,kenya,-3.76662,39.84587,-3.77083349227905,39.8541679382324,1.03304866602003,27.097916060981
2022-11-03,wmb_01,wembe,kenya,-3.76209,39.8414,-3.77083349227905,39.8541679382324,1.71819081360903,27.097916060981
2022-03-04,iwe_01,iweni,kenya,-2.214504,41.018066,-2.22916674613953,41.0208320617676,1.65914017216684,27.6183327160155
2022-03-03,kny_01,kinyika_inner,kenya,-2.43039,40.8404,-2.4375,40.8541679382324,1.72178840495666,27.1195827271634
2022-03-05,knyo_01,kinyika_outer,kenya,-2.430123,40.842049,-2.4375,40.8541679382324,1.57655653794551,27.1195827271634
2023-02-21,mat_01,manda_toto,kenya,-2.21796,40.97657,-2.22916674613953,40.9791679382324,1.2791317339691,27.4912493855227
2021-11-23,and_02,andromache,kenya,-4.10642,39.68922,-4.10416698455811,39.6875,0.314886711511465,27.305416056343
2021-11-23,and_01,andromache,kenya,-4.10165,39.68993,-4.10416698455811,39.6875,0.388545077653921,27.305416056343
2022-11-18,din_01,dindini,tanzania,-7.92177,39.82523,-7.93750047683716,39.8125,2.2416684044303,27.6829160479053
2022-11-18,din_02,dindini,tanzania,-7.92628,39.82433,-7.93750047683716,39.8125,1.80390868516723,27.6829160479053
2022-11-16,kif_01,kifinge,tanzania,-7.84939,39.86331,-7.85416698455811,39.8541679382324,1.13852658805751,27.6620827150376
2022-11-16,kif_02,kifinge,tanzania,-7.85414,39.86386,-7.85416698455811,39.8541679382324,1.06760414513825,27.6620827150376
2022-11-17,kik_01,kisiwa_kikubwa,tanzania,-7.95904,39.79773,-7.97916698455811,39.8125,2.76662558540784,27.6220827159317
2022-11-17,msu_01,kisiwa_kikubwa,tanzania,-7.96221,39.7943,-7.97916698455811,39.8125,2.75173640925113,27.6220827159317
2022-11-20,kitin_01,kitutia_inner,tanzania,-8.11881,39.65028,-8.10416698455811,39.6458320617676,1.70026061889223,27.5324993846007
2022-11-20,kitin_02,kitutia_inner,tanzania,-8.12197,39.65401,-8.10416698455811,39.6458320617676,2.17469311347499,27.5324993846007
2022-11-21,kitout_01,kitutia_outer,tanzania,-8.13151,39.64531,-8.14583396911621,39.6458320617676,1.59379153523357,27.6533327152332
2022-11-21,kitout_02,kitutia_outer,tanzania,-8.13405,39.64901,-8.14583396911621,39.6458320617676,1.35620990303748,27.6533327152332
2022-11-15,mgein_01,mange_inner,tanzania,-8.05631,39.60419,-8.0625,39.6041679382324,0.688301961998409,27.6454160487435
2022-11-15,mgein_02,mange_inner,tanzania,-8.04771,39.59784,-8.0625,39.6041679382324,1.78606006263225,27.6454160487435
2022-11-22,mgeout_01,mange_outer,tanzania,-8.07862,39.59646,-8.0625,39.6041679382324,1.9831910214573,27.6454160487435
2022-11-22,mgeout_02,mange_outer,tanzania,-8.07903,39.60093,-8.0625,39.6041679382324,1.87230392072575,27.6454160487435
2022-11-14,nyn_01,nyamalile_north,tanzania,-8.0285,39.510833,-8.02083396911621,39.5208320617676,1.39238659980105,27.732082713473
2022-11-14,nys_01,nyamalile_south,tanzania,-8.042,39.508667,-8.0625,39.5208320617676,2.64386081617605,27.7291660468715
2022-11-13,mil_01,utumbi,tanzania,-7.94522,39.78382,-7.93750047683716,39.7708320617676,1.66814029127023,27.8895827099526
2022-11-13,utm_01,utumbi,tanzania,-7.94784,39.78749,-7.93750047683716,39.7708320617676,2.16500666269508,27.8895827099526
2022-11-19,yuy_01,yuyuni,tanzania,-7.98201,39.81374,-7.97916698455811,39.8125,0.344358468009065,27.6220827159317
2022-11-19,yuy_02,yuyuni,tanzania,-7.98624,39.81177,-7.97916698455811,39.8125,0.790582076683648,27.6220827159317
2021-03-31,mlcg_02,malindi_coral_garden,kenya,-3.25932,40.14463,-3.27083349227905,40.1458320617676,1.28718005204155,27.9187493759673
