date,station,site,country,latitude,longitude,closest_cell,cell_distance_km,chla_annual_mean
2022-11-20,kitin_01,kitutia_inner,tanzania,-8.11881,39.65028,11204054,55.1420726156212,0.0683836162775412
2022-11-20,kitin_02,kitutia_inner,tanzania,-8.12197,39.65401,11204054,54.8017965797245,0.0683836162775412
2022-11-21,kitout_01,kitutia_outer,tanzania,-8.13151,39.64531,11204054,53.720186656509,0.0683836162775412
2022-11-21,kitout_02,kitutia_outer,tanzania,-8.13405,39.64901,11204054,53.4447951362305,0.0683836162775412
2022-11-15,mgein_01,mange_inner,tanzania,-8.05631,39.60419,11204053,62.0784064837799,0.0671404827975859
2022-11-15,mgein_02,mange_inner,tanzania,-8.04771,39.59784,11204053,63.0343565902765,0.0671404827975859
2022-11-22,mgeout_01,mange_outer,tanzania,-8.07862,39.59646,11204053,59.5983750546242,0.0671404827975859
2022-11-22,mgeout_02,mange_outer,tanzania,-8.07903,39.60093,11204053,59.5509100071526,0.0671404827975859
2022-11-14,nyn_01,nyamalile_north,tanzania,-8.0285,39.510833,11204051,65.1874905829335,0.0638927276899566
2022-11-14,nys_01,nyamalile_south,tanzania,-8.042,39.508667,11204051,63.6929384332753,0.0638927276899566
2022-11-13,mil_01,utumbi,tanzania,-7.94522,39.78382,11204058,74.4339712978752,0.0633207582116537
2022-11-13,utm_01,utumbi,tanzania,-7.94784,39.78749,11204058,74.1395277723182,0.0633207582116537
2022-11-19,yuy_01,yuyuni,tanzania,-7.98201,39.81374,11204059,70.3588247226895,0.0636042813793019
2022-11-19,yuy_02,yuyuni,tanzania,-7.98624,39.81177,11204059,69.894110727031,0.0636042813793019
2021-03-31,mlcg_02,malindi_coral_garden,kenya,-3.25932,40.14463,10078807,30.241576844536,0.0361495982796427
2021-03-31,mlcg_01,malindi_coral_garden,kenya,-3.25604,40.14085,10078807,30.616105376498,0.0361495982796427
2021-03-30,nor_01,north_reef,kenya,-3.24697,40.14929,10078807,31.6105443043708,0.0361495982796427
