"","date","station","site","country","latitude","longitude","Grav_tot","distance_to_grid_km"
"20318.1",2009-10-26,"mnazb2","mnazib","tanzania",-10.25835,40.3739,47,0
"20317",2009-10-28,"mnazf2","mnazif","tanzania",-10.2419,40.35036667,67,0
"20317.1",2009-10-28,"mnazf1","mnazif","tanzania",-10.2363,40.34351667,67,0
"18504",2011-03-25,"kitut1","kitutia","tanzania",-8.131683333,39.6456,47,0
"18442",2011-03-25,"kitut2","kitutia","tanzania",-8.118833333,39.65035,52,0
"18441",2011-03-24,"mange2","mange","tanzania",-8.0787,39.59795,56,0
"18440",2011-03-23,"nyams34","nyamalile","tanzania",-8.060366667,39.52853333,63,0
"18441.1",2011-03-24,"mange1","mange","tanzania",-8.056833333,39.60428333,56,0
"18391",2011-03-23,"nyamn07","nyamalile","tanzania",-8.028266667,39.51086667,67,0
"18394",2011-03-28,"yuyun11","yuyuni","tanzania",-7.984416667,39.81223333,46,0
"18394.1",2011-03-28,"yuyun10","yuyuni","tanzania",-7.98175,39.81338333,46,0
"18394.2",2011-03-27,"utumb13","utumbi","tanzania",-7.949133333,39.78851667,46,0
"18394.3",2011-03-27,"utumb12","utumbi","tanzania",-7.947616667,39.78738333,46,0
"18351",2011-03-26,"dindi9","dindini","tanzania",-7.921633333,39.82505,46,0
"18351.1",2011-03-26,"dindi8","dindini","tanzania",-7.91805,39.82726667,46,0
"18307",2011-03-22,"kifin32","kifinge","tanzania",-7.84965,39.8632,119,0
"18307.1",2011-03-22,"kifinn","kifinge","tanzania",-7.843783333,39.86655,119,0
"17380",2009-10-16,"chuma1","chumb","tanzania",-6.279933333,39.17395,418,0.07528569005463
"17380.1",2009-10-16,"chuma2","chumb","tanzania",-6.279266667,39.17416667,418,0.0504060049124564
"17047",2009-10-17,"mnema1","mnemb","tanzania",-5.840966667,39.39646667,164,0
"17047.1",2009-10-17,"mnema2","mnemb","tanzania",-5.83975,39.39418333,164,0
