"date","station","site","location","country","latitude","longitude","grav_tot","distance_to_grid_km"
"2021-04-14","lmp_02","lower_mpunguti","kisite_marine_national_reserve","kenya",-4.68446,39.39701,300,0
"2022-10-18","mjk_02","mji_wa_kale","mkwiro","kenya",-4.65837,39.39407,300,0
"2022-10-18","mjk_01","mji_wa_kale","mkwiro","kenya",-4.65693,39.3994,300,0
"2020-11-23","was_02","wasini_tengefu","wasini","kenya",-4.65436,39.36415,312,0
"2020-11-23","was_01","wasini_tengefu","wasini","kenya",-4.65405,39.3628,312,0
"2022-10-17","ngm_01","ngomani","kibuyuni","kenya",-4.64668,39.32629,312,0
"2022-10-17","ngm_02","ngomani","kibuyuni","kenya",-4.64581,39.3316,312,0
"2022-03-04","mwk_01","mwakinyavu","msambweni","kenya",-4.56582,39.47786,287,0
"2022-03-04","mwk_02","mwakinyavu","msambweni","kenya",-4.56088,39.47862,287,0
"2022-03-30","klg_01","kilingoni","munje","kenya",-4.54755,39.46273,345,0
"2022-02-04","mbo_02","mboe","msambweni","kenya",-4.54421,39.48566,629,0
"2022-04-02","mbo_01","mboe","msambweni","kenya",-4.53941,39.4878,629,0
"2022-04-01","mli_01","mliani","msambweni","kenya",-4.53723,39.46921,629,0
"2022-04-01","mli_02","mliani","msambweni","kenya",-4.53429,39.46857,629,0
"2022-03-31","jkw_02","jamba_wa_kwale","msambweni","kenya",-4.52081,39.50502,629,0
"2022-03-31","jkw_01","jamba_wa_kwale","msambweni","kenya",-4.516,39.50863,629,0
"2022-04-04","aru_01","arusha","msambweni","kenya",-4.48763,39.51693,629,0
"2022-04-04","aru_02","arusha","msambweni","kenya",-4.48453,39.51809,629,0
"2022-04-05","mek_02","mekka","msambweni","kenya",-4.48421,39.52488,629,0
"2022-04-05","mek_01","mekka","msambweni","kenya",-4.482,39.52639,629,0
"2022-10-19","mps_02","mapasi","mkunguni","kenya",-4.47471,39.50128,629,0
"2022-10-19","mps_01","mapasi","mkunguni","kenya",-4.47096,39.50707,629,0
"2021-11-17","cha_01","chale","msambweni","kenya",-4.4621,39.53681,2832,0
